f_MHz,S11_dB,Re_Zin,Im_Zin
2.924620800000000145e+02,-5.308804089276834837e-02,1.755389614918283214e-01,1.928857792123736559e+01
2.926790399999999863e+02,-4.856601677733907163e-02,1.605986055660664213e-01,1.929412063586586257e+01
2.928960000000000150e+02,-4.376445570962494980e-02,1.447343051327483199e-01,1.930106893310235705e+01
2.931129599999999868e+02,-3.872240965109016025e-02,1.280741855104321480e-01,1.930949223563443695e+01
2.933299200000000155e+02,-3.348042705029803667e-02,1.107512029131131615e-01,1.931944820249130501e+01
2.935468799999999874e+02,-2.808021534516185955e-02,9.290206426228078684e-02,1.933098245272573124e+01
2.937638400000000161e+02,-2.256430073156021066e-02,7.466614220005336755e-02,1.934412838816643543e+01
2.939807999999999879e+02,-1.697568829483636632e-02,5.618439426386961921e-02,1.935890711283100529e+01
2.941977600000000166e+02,-1.135752542660470668e-02,3.759829453309325442e-02,1.937532744582452437e+01
2.944147199999999884e+02,-5.752771246321200689e-03,1.904878535427426134e-02,1.939338602391919153e+01
2.946316800000000171e+02,-2.038745253929740743e-04,6.752560270413676810e-04,1.941306748949786964e+01
2.948486399999999890e+02,5.247537626314039728e-03,-1.738544540729079074e-02,1.943434475916093618e+01
2.950656000000000176e+02,1.056095829494709329e-02,-3.499996185448379926e-02,1.945717936802030223e+01
2.952825599999999895e+02,1.569728474650794112e-02,-5.203933361068596025e-02,1.948152188453610734e+01
2.954995200000000182e+02,2.061908633060887536e-02,-6.837985749750977171e-02,1.950731239067381750e+01
2.957164799999999900e+02,2.529085500544306017e-02,-8.390389522659932875e-02,1.953448102215986637e+01
2.959334400000000187e+02,2.967923740582904119e-02,-9.850062808013211602e-02,1.956294856367916069e+01
2.961503999999999905e+02,3.375324757938613640e-02,-1.120667554724260329e-01,1.959262709397178881e+01
2.963673600000000192e+02,3.748445970235939756e-02,-1.245071353725285268e-01,1.962342067593425554e+01
2.965843199999999911e+02,4.084718025296901062e-02,-1.357353649133314633e-01,1.965522608700199214e+01
2.968012800000000198e+02,4.381859926689816997e-02,-1.456742997931328720e-01,1.968793358526090387e+01
2.970182399999999916e+02,4.637892042752798233e-02,-1.542565112999573218e-01,1.972142770691102243e+01
2.972352000000000203e+02,4.851146985051169730e-02,-1.614246799527754017e-01,1.975558809085412193e+01
2.974521599999999921e+02,5.020278351377989445e-02,-1.671319248788062095e-01,1.979029032630746698e+01
2.976691200000000208e+02,5.144267335779734163e-02,-1.713420681296037584e-01,1.982540681943616079e+01
2.978860799999999927e+02,5.222427214181298016e-02,-1.740298331983697600e-01,1.986080767505321631e+01
2.981030400000000213e+02,5.254405719126253871e-02,-1.751809770465276028e-01,1.989636158944352573e+01
2.983199999999999932e+02,5.240185321090773396e-02,-1.747923549845384894e-01,1.993193675033505485e+01
2.985369600000000219e+02,5.180081437381237747e-02,-1.728719178043690019e-01,1.996740173995843648e+01
2.987539199999999937e+02,5.074738592629073064e-02,-1.694386406243523491e-01,2.000262643701529441e+01
2.989708800000000224e+02,4.925124558005888192e-02,-1.645223830058010206e-01,2.003748291321353747e+01
2.991878399999999942e+02,4.732522499557857698e-02,-1.581636800362830608e-01,2.007184631983404088e+01
2.994048000000000229e+02,4.498521169823754134e-02,-1.504134642588560722e-01,2.010559575957756806e+01
2.996217599999999948e+02,4.225003181388611168e-02,-1.413327185665281260e-01,2.013861513870940456e+01
2.998387200000000234e+02,3.914131406445468808e-02,-1.309920604831448787e-01,2.017079399428248720e+01
3.000556799999999953e+02,3.568333552939091657e-02,-1.194712586176693014e-01,2.020202829099840613e+01
3.002726400000000240e+02,3.190284975583013161e-02,-1.068586825113574668e-01,2.023222118205892173e+01
3.004895999999999958e+02,2.782889789136046288e-02,-9.325068759758324555e-02,2.026128372819654899e+01
3.007065600000000245e+02,2.349260361730246688e-02,-7.875093755460013667e-02,2.028913556895372849e+01
3.009235199999999963e+02,1.892695277753986619e-02,-6.346966694865750769e-02,2.031570554022999886e+01
3.011404800000000250e+02,1.416655872907814084e-02,-4.752288773367645963e-02,2.034093223213469415e+01
3.013574399999999969e+02,9.247414581684224033e-03,-3.103154387618647231e-02,2.036476448130019179e+01
3.015744000000000256e+02,4.206633645358427709e-03,-1.412061910233980595e-02,2.038716179201575329e+01
3.017913599999999974e+02,-9.178204369469901642e-04,3.081796497483095445e-03,2.040809468086002454e+01
3.020083200000000261e+02,-6.087412231838537462e-03,2.044547454301675130e-02,2.042754493993885134e+01
3.022252799999999979e+02,-1.126331993089644060e-02,3.783904395157956096e-02,2.044550581437615477e+01
3.024422400000000266e+02,-1.640672567772195542e-02,5.513100621711419791e-02,2.046198209036238325e+01
3.026591999999999985e+02,-2.147910869328084962e-02,7.219076196590953898e-02,2.047699009083148169e+01
3.028761600000000271e+02,-2.644253894957075690e-02,8.888963987434193859e-02,2.049055757670398492e+01
3.030931199999999990e+02,-3.125996901869655675e-02,1.051019186255755106e-01,2.050272355259545165e+01
3.033100800000000277e+02,-3.589552162749103104e-02,1.207058323055715671e-01,2.051353797692235048e+01
3.035270399999999995e+02,-4.031477037485186460e-02,1.355845494876296298e-01,2.052306137743501324e+01
3.037440000000000282e+02,-4.448501102913568483e-02,1.496271162553112488e-01,2.053136437433933992e+01
3.039609600000000000e+02,-4.837552081651762259e-02,1.627293535645152889e-01,2.053852711431877509e+01
3.041779199999999719e+02,-5.195780314345967155e-02,1.747946996553095267e-01,2.054463861991096252e+01
3.043948800000000006e+02,-5.520581526839742764e-02,1.857349886928369720e-01,2.054979605980239299e+01
3.046118399999999724e+02,-5.809617655096740996e-02,1.954711574369049354e-01,2.055410394665677032e+01
3.048288000000000011e+02,-6.060835506144001544e-02,2.039338725060275692e-01,2.055767327006333289e+01
3.050457599999999729e+02,-6.272483052794571023e-02,2.110640716989819199e-01,2.056062057305846480e+01
