f_MHz,Z11r,Z11i,Z12r,Z12i,Z21r,Z21i,Z22r,Z22i
8.361729000000000269e+02,1.591476951507155402e+00,6.847183619152211520e+01,-9.821119888346494520e+00,-4.884441417538165808e+01,-9.312849191318333553e+00,-4.953610047300627883e+01,4.951615252717060400e+01,-3.798031335639473127e+01
8.366070499999999583e+02,1.606196054212960522e+00,6.852980209437164660e+01,-9.885123677588824265e+00,-4.890270293838254645e+01,-9.385925004763485902e+00,-4.961250137663468962e+01,4.982643945218942605e+01,-3.769298704448531367e+01
8.370412000000000035e+02,1.621260316997659379e+00,6.858794332820428963e+01,-9.949640198326189733e+00,-4.896198113594693524e+01,-9.460597273202248303e+00,-4.968935672757361743e+01,5.013875853089124490e+01,-3.740072365489690753e+01
8.374753500000000486e+02,1.636681308876605234e+00,6.864625351202279546e+01,-1.001474317205562947e+01,-4.902228381389522127e+01,-9.536903178070325282e+00,-4.976663274286926963e+01,5.045350613473086554e+01,-3.710333507578513945e+01
8.379094999999999800e+02,1.652470472566438309e+00,6.870472599957210491e+01,-1.008050990683472037e+01,-4.908364318110277225e+01,-9.614879028727084886e+00,-4.984429550721944935e+01,5.077109680765756394e+01,-3.680064997823316020e+01
8.383436500000000251e+02,1.668639133766830263e+00,6.876335389659021757e+01,-1.014702119422153892e+01,-4.914608840980751836e+01,-9.694560380076676864e+00,-4.992231107077277130e+01,5.109196253433400869e+01,-3.649251481135899411e+01
8.387777999999999565e+02,1.685198512847156715e+00,6.882213007664785209e+01,-1.021436119740682003e+01,-4.920964544460307621e+01,-9.775982162443925816e+00,-5.000064553520841315e+01,5.141655196590011911e+01,-3.617879473598294027e+01
8.392119500000000016e+02,1.702159738826914959e+00,6.888104719534604214e+01,-1.028261733179012971e+01,-4.927433682062515174e+01,-9.859178822812626919e+00,-5.007926512696054999e+01,5.174532961116938168e+01,-3.585937449462947768e+01
8.396461000000000467e+02,1.719533865524651928e+00,6.894009770265205361e+01,-1.035188013930973838e+01,-4.934018149127486907e+01,-9.944184476449128951e+00,-5.015813625653657937e+01,5.207877500138104665e+01,-3.553415921662774224e+01
8.400802499999999782e+02,1.737331889732649959e+00,6.899927385316634343e+01,-1.042224315787446542e+01,-4.940719466564932105e+01,-1.003103306785989446e+01,-5.023722556297212805e+01,5.241738183674294049e+01,-3.520307515809534493e+01
